id,year,name,position,age,team_from,team_to,length,aav
2,2012,Shea Weber,D,26.8,NSH,NSH,14,7857143.00
3,2012,Ryan Suter,D,27.4,NSH,MIN,13,7538462.00
4,2012,Zach Parise,LW,27.9,NJD,MIN,13,7538462.00
5,2012,Carey Price,G,24.8,MTL,MTL,6,6500000.00
6,2012,Matt Carle,D,27.8,PHI,TBL,6,5500000.00
7,2012,Evander Kane,LW,20.9,WPG,WPG,6,5250000.00
8,2012,Jason Garrison,D,27.6,FLA,VAN,6,4600000.00
9,2012,Jamie Benn,LW,22.9,DAL,DAL,5,5250000.00
10,2012,John Carlson,D,22.4,WAS,WAS,6,3966667.00
11,2012,Shane Doan,RW,35.7,ARI,ARI,4,5300000.00
12,2012,T.J. Oshie,RW,25.5,STL,STL,5,4175000.00
14,2012,Kris Versteeg,LW,26.1,FLA,FLA,4,4400000.00
15,2012,Jakub Voracek,RW,22.8,PHI,PHI,4,4250000.00
16,2012,Pierre-Alexandre Parenteau,RW,29.2,NYI,COL,4,4000000.00
17,2012,Jiri Hudler,LW,28.4,DET,CGY,4,4000000.00
18,2012,David Perron,LW,24.1,STL,STL,4,3812500.00
19,2012,Erik Johnson,D,24.2,COL,COL,4,3750000.00
20,2012,Sheldon Souray,D,35.9,DAL,ANA,3,3666667.00
21,2012,Bryan Allen,D,31.8,CAR,ANA,3,3500000.00
22,2012,Ryan O'Reilly,C,21.3,COL,COL,2,5000000.00
23,2012,Brandon Prust,LW,28.2,NYR,MTL,4,2500000.00
24,2012,Bryce Salvador,D,36.3,NJD,NJD,3,3166667.00
25,2012,Nick Foligno,LW,24.7,CBJ,CBJ,3,3050000.00
26,2012,Ray Whitney,LW,40.1,ARI,DAL,2,4500000.00
27,2012,Martin Brodeur,G,40.1,NJD,NJD,2,4500000.00
28,2012,Olli Jokinen,LW,33.5,CGY,WPG,2,4500000.00
30,2012,Kyle Quincey,D,26.8,DET,DET,2,3775000.00
32,2012,Adam Burish,RW,29.4,DAL,SJS,4,1800000.00
33,2012,Justin Abdelkader,LW,25.3,DET,DET,4,1800000.00
34,2012,Devan Dubnyk,G,26.1,EDM,EDM,2,3500000.00
35,2012,Alexander Semin,RW,28.2,WAS,CAR,1,7000000.00
36,2012,Mikael Samuelsson,RW,35.5,FLA,DET,2,3000000.00
38,2012,Colin Wilson,C,22.7,NSH,NSH,3,2000000.00
39,2012,P.K. Subban,D,23.1,MTL,MTL,2,2875000.00
40,2012,Torrey Mitchell,C,27.4,SJS,MIN,3,1900000.00
41,2012,Jordin Tootoo,RW,29.4,NSH,DET,3,1900000.00
42,2012,Tyler Ennis,C,22.7,BUF,BUF,2,2812500.00
43,2012,Nikolai Kulemin,LW,25.9,TOR,TOR,2,2800000.00
44,2012,Michael Del Zotto,D,22.0,NYR,NYR,2,2550000.00
45,2012,Carlo Colaiacovo,D,29.4,STL,DET,2,2500000.00
46,2012,Jaromir Jagr,RW,40.3,PHI,DAL,1,4550000.00
47,2012,Matt Carkner,D,31.7,OTT,NYI,3,1500000.00
48,2012,Greg Zanon,D,32.0,BOS,COL,2,2250000.00
49,2012,Teemu Selanne,RW,41.9,ANA,ANA,1,4500000.00
50,2012,David Moss,RW,30.5,CGY,ARI,2,2100000.00
51,2012,Matt Martin,LW,23.1,NYI,NYI,4,1000000.00
53,2012,Daniel Paille,LW,28.2,BOS,BOS,3,1300000.00
54,2012,Patrick Kaleta,RW,26.0,BUF,BUF,3,1275000.00
55,2012,Anders Lindback,G,24.1,TBL,TBL,2,1800000.00
56,2012,Daniel Winnik,C,27.2,SJS,ANA,2,1800000.00
57,2012,Jeff Petry,D,24.5,EDM,EDM,2,1750000.00
58,2012,Jamie McGinn,LW,23.8,COL,COL,2,1750000.00
59,2012,Anton Stralman,D,25.9,NYR,NYR,2,1700000.00
60,2012,Dustin Penner,RW,29.8,LAK,LAK,1,3250000.00
61,2012,Sam Gagner,C,22.8,EDM,EDM,1,3200000.00
62,2012,Jonas Gustavsson,G,27.7,WPG,DET,2,1500000.00
63,2012,Jay McClement,C,29.3,COL,TOR,2,1500000.00
65,2012,Jay Beagle,RW,26.7,WAS,WAS,3,900000.00
66,2012,Lars Eller,C,23.1,MTL,MTL,2,1325000.00
67,2012,Mark Fayne,D,25.1,NJD,NJD,2,1300000.00
68,2012,Sheldon Brookbank,D,31.7,ANA,CHI,2,1250000.00
69,2012,Raphael Diaz,D,26.4,MTL,MTL,2,1225000.00
70,2012,Scott Clemmensen,G,34.9,FLA,FLA,2,1200000.00
71,2012,Mason Raymond,LW,26.8,VAN,VAN,1,2275000.00
72,2012,John Mitchell,C,27.4,NYR,COL,2,1100000.00
73,2012,Tanner Glass,LW,28.6,WPG,PIT,2,1100000.00
74,2012,Mathieu Perreault,C,24.4,WAS,WAS,2,1050000.00
75,2012,Philip Larsen,D,22.5,DAL,DAL,2,1025000.00
76,2012,Joe Corvo,D,35.0,BOS,CAR,1,2000000.00
77,2012,Guillaume Latendresse,RW,25.1,MIN,OTT,1,2000000.00
78,2012,Adrian Aucoin,D,38.9,ARI,CBJ,1,2000000.00
79,2012,Arron Asham,RW,34.2,PIT,NYR,2,1000000.00
80,2012,Michal Rozsival,D,33.8,ARI,CHI,1,2000000.00
81,2012,Zenon Konopka,C,31.5,OTT,MIN,2,925000.00
82,2012,George Parros,RW,32.5,ANA,FLA,2,925000.00
83,2012,Steve Sullivan,LW,37.9,PIT,ARI,1,1850000.00
84,2012,Benoit Pouliot,LW,25.8,TBL,TBL,1,1800000.00
85,2012,Alexei Ponikarovsky,LW,32.2,NJD,WPG,1,1800000.00
86,2012,Ruslan Fedotenko,LW,33.4,NYR,PHI,1,1750000.00
87,2012,Peter Mueller,C,24.2,COL,FLA,1,1725000.00
88,2012,Matt Frattin,RW,24.5,TOR,TOR,2,850000.00
90,2012,Tommy Wingels,RW,24.2,SJS,SJS,2,775000.00
91,2012,Stu Bickel,D,25.8,NYR,NYR,2,750000.00
92,2012,Francis Bouillon,D,36.7,NSH,MTL,1,1500000.00
93,2012,Krystopher Barch,RW,32.2,FLA,NJD,2,750000.00
94,2012,Dwight King,LW,22.9,LAK,LAK,2,750000.00
95,2012,Eddie Lack,G,24.4,VAN,VAN,2,750000.00
96,2012,Mark Fistric,D,26.1,DAL,DAL,1,1475000.00
