team_abbreviation,team_name
ANA,Anaheim Ducks
ARI,Arizona Coyotes
BOS,Boston Bruins
BUF,Buffalo Sabres
CAR,Carolina Hurricanes
CBJ,Columbus Blue Jackets
CGY,Calgary Flames
CHI,Chicago Blackhawks
COL,Colorado Avalanche
DAL,Dallas Stars
NSH,Nashville Predators
DET,Detroit Red Wings
EDM,Edmonton Oilers
FLA,Florida Panthers
LAK,Los Angeles Kings
MIN,Minnesota Wild
MTL,Montréal Canadiens
NJD,New Jersey Devils
NYI,New York Islanders
NYR,New York Rangers
OTT,Ottawa Senators
PHI,Philadelphia Flyers
PIT,Pittsburgh Penguins
SEA,Seattle Kraken
SJS,San Jose Sharks
STL,St. Louis Blues
TBL,Tampa Bay Lightning
TOR,Toronto Maple Leafs
VAN,Vancouver Canucks
VGK,Vegas Golden Knights
WAS,Washington Capitals
WPG,Winnipeg Jets
