id,year,team,rank,gp,w,l,otl,pts,percentage
0,2024,NA,NA,NA,NA,NA,NA,NA,NA
1,2024,New York Rangers,1,82,55,23,4,114,.695
2,2024,Dallas Stars,2,82,52,21,9,113,.689
3,2024,Carolina Hurricanes,3,82,52,23,7,111,.677
4,2024,Winnipeg Jets,4,82,52,24,6,110,.671
5,2024,Florida Panthers,5,82,52,24,6,110,.671
6,2024,Vancouver Canucks,6,82,50,23,9,109,.665
7,2024,Boston Bruins,7,82,47,20,15,109,.665
8,2024,Colorado Avalanche,8,82,50,25,7,107,.652
9,2024,Edmonton Oilers,9,82,49,27,6,104,.634
10,2024,Toronto Maple Leafs,10,82,46,26,10,102,.622
11,2024,Nashville Predators,11,82,47,30,5,99,.604
12,2024,Los Angeles Kings,12,82,44,27,11,99,.604
13,2024,Tampa Bay Lightning,13,82,45,29,8,98,.598
14,2024,Vegas Golden Knights,14,82,45,29,8,98,.598
15,2024,New York Islanders,15,82,39,27,16,94,.573
16,2024,St. Louis Blues,16,82,43,33,6,92,.561
17,2024,Washington Capitals,17,82,40,31,11,91,.555
18,2024,Detroit Red Wings,18,82,41,32,9,91,.555
19,2024,Pittsburgh Penguins,19,82,38,32,12,88,.537
20,2024,Minnesota Wild,20,82,39,34,9,87,.530
21,2024,Philadelphia Flyers,21,82,38,33,11,87,.530
22,2024,Buffalo Sabres,22,82,39,37,6,84,.512
23,2024,New Jersey Devils,23,82,38,39,5,81,.494
24,2024,Calgary Flames,24,82,38,39,5,81,.494
25,2024,Seattle Kraken,25,82,34,35,13,81,.494
26,2024,Ottawa Senators,26,82,37,41,4,78,.476
27,2024,Arizona Coyotes,27,82,36,41,5,77,.470
28,2024,Montréal Canadiens,28,82,30,36,16,76,.463
29,2024,Columbus Blue Jackets,29,82,27,43,12,66,.402
30,2024,Anaheim Ducks,30,82,27,50,5,59,.360
31,2024,Chicago Blackhawks,31,82,23,53,6,52,.317
32,2024,San Jose Sharks,32,82,19,54,9,47,.287
33,2023,NA,NA,NA,NA,NA,NA,NA,NA
34,2023,Boston Bruins,1,82,65,12,5,135,.823
35,2023,Carolina Hurricanes,2,82,52,21,9,113,.689
36,2023,New Jersey Devils,3,82,52,22,8,112,.683
37,2023,Toronto Maple Leafs,4,82,50,21,11,111,.677
38,2023,Vegas Golden Knights,5,82,51,22,9,111,.677
39,2023,Edmonton Oilers,6,82,50,23,9,109,.665
40,2023,Colorado Avalanche,7,82,51,24,7,109,.665
41,2023,Dallas Stars,8,82,47,21,14,108,.659
42,2023,New York Rangers,9,82,47,22,13,107,.652
43,2023,Los Angeles Kings,10,82,47,25,10,104,.634
44,2023,Minnesota Wild,11,82,46,25,11,103,.628
45,2023,Seattle Kraken,12,82,46,28,8,100,.610
46,2023,Tampa Bay Lightning,13,82,46,30,6,98,.598
47,2023,Winnipeg Jets,14,82,46,33,3,95,.579
48,2023,New York Islanders,15,82,42,31,9,93,.567
49,2023,Calgary Flames,16,82,38,27,17,93,.567
50,2023,Florida Panthers,17,82,42,32,8,92,.561
51,2023,Nashville Predators,18,82,42,32,8,92,.561
52,2023,Pittsburgh Penguins,19,82,40,31,11,91,.555
53,2023,Buffalo Sabres,20,82,42,33,7,91,.555
54,2023,Ottawa Senators,21,82,39,35,8,86,.524
55,2023,Vancouver Canucks,22,82,38,37,7,83,.506
56,2023,St. Louis Blues,23,82,37,38,7,81,.494
57,2023,Detroit Red Wings,24,82,35,37,10,80,.488
58,2023,Washington Capitals,25,82,35,37,10,80,.488
59,2023,Philadelphia Flyers,26,82,31,38,13,75,.457
60,2023,Arizona Coyotes,27,82,28,40,14,70,.427
61,2023,Montréal Canadiens,28,82,31,45,6,68,.415
62,2023,San Jose Sharks,29,82,22,44,16,60,.366
63,2023,Chicago Blackhawks,30,82,26,49,7,59,.360
64,2023,Columbus Blue Jackets,31,82,25,48,9,59,.360
65,2023,Anaheim Ducks,32,82,23,47,12,58,.354
66,2022,NA,NA,NA,NA,NA,NA,NA,NA
67,2022,Florida Panthers,1,82,58,18,6,122,.744
68,2022,Colorado Avalanche,2,82,56,19,7,119,.726
69,2022,Carolina Hurricanes,3,82,54,20,8,116,.707
70,2022,Toronto Maple Leafs,4,82,54,21,7,115,.701
71,2022,Minnesota Wild,5,82,53,22,7,113,.689
72,2022,Calgary Flames,6,82,50,21,11,111,.677
73,2022,New York Rangers,7,82,52,24,6,110,.671
74,2022,Tampa Bay Lightning,8,82,51,23,8,110,.671
75,2022,St. Louis Blues,9,82,49,22,11,109,.665
76,2022,Boston Bruins,10,82,51,26,5,107,.652
77,2022,Edmonton Oilers,11,82,49,27,6,104,.634
78,2022,Pittsburgh Penguins,12,82,46,25,11,103,.628
79,2022,Washington Capitals,13,82,44,26,12,100,.610
80,2022,Los Angeles Kings,14,82,44,27,11,99,.604
81,2022,Dallas Stars,15,82,46,30,6,98,.598
82,2022,Nashville Predators,16,82,45,30,7,97,.591
83,2022,Vegas Golden Knights,17,82,43,31,8,94,.573
84,2022,Vancouver Canucks,18,82,40,30,12,92,.561
