identifier,year,team,total_signings,avg_length,total_spend,avg_age,pt_percentage
2012ANA,2012,Anaheim Ducks,3,2.3333333333333333,11666667.00,36.5333333333333333,0.488
2012ARI,2012,Arizona Coyotes,2,3.0000000000000000,7400000.00,33.1000000000000000,0.591
2012BOS,2012,Boston Bruins,0,0,0,0,0.622
2012BUF,2012,Buffalo Sabres,1,2.0000000000000000,2812500.00,22.7000000000000000,0.543
2012CAR,2012,Carolina Hurricanes,2,1.00000000000000000000,9000000.00,31.6000000000000000,0.500
2012CBJ,2012,Columbus Blue Jackets,2,2.0000000000000000,5050000.00,31.8000000000000000,0.396
2012CGY,2012,Calgary Flames,1,4.0000000000000000,4000000.00,28.4000000000000000,0.549
2012CHI,2012,Chicago Blackhawks,1,1.00000000000000000000,2000000.00,33.8000000000000000,0.616
2012COL,2012,Colorado Avalanche,4,3.0000000000000000,15000000.00,26.6750000000000000,0.537
2012DAL,2012,Dallas Stars,3,2.6666666666666667,14300000.00,34.4333333333333333,0.543
2012DET,2012,Detroit Red Wings,3,2.0000000000000000,9275000.00,30.5666666666666667,0.622
2012EDM,2012,Edmonton Oilers,2,1.5000000000000000,6700000.00,24.4500000000000000,0.451
2012FLA,2012,Florida Panthers,1,4.0000000000000000,4400000.00,26.1000000000000000,0.573
2012LAK,2012,Los Angeles Kings,1,1.00000000000000000000,3250000.00,29.8000000000000000,0.579
2012MIN,2012,Minnesota Wild,2,13.0000000000000000,15076924.00,27.6500000000000000,0.494
2012MTL,2012,Montréal Canadiens,3,4.0000000000000000,11875000.00,25.3666666666666667,0.476
2012NJD,2012,New Jersey Devils,2,2.5000000000000000,7666667.00,38.2000000000000000,0.622
2012NSH,2012,Nashville Predators,2,8.5000000000000000,9857143.00,24.7500000000000000,0.634
2012NYI,2012,New York Islanders,0,0,0,0,0.482
2012NYR,2012,New York Rangers,1,2.0000000000000000,2550000.00,22.0000000000000000,0.665
2012OTT,2012,Ottawa Senators,1,1.00000000000000000000,2000000.00,25.1000000000000000,0.561
2012PHI,2012,Philadelphia Flyers,1,4.0000000000000000,4250000.00,22.8000000000000000,0.628
2012PIT,2012,Pittsburgh Penguins,0,0,0,0,0.659
2012SJS,2012,San Jose Sharks,0,0,0,0,0.585
2012STL,2012,St. Louis Blues,2,4.5000000000000000,7987500.00,24.8000000000000000,0.665
2012TBL,2012,Tampa Bay Lightning,1,6.0000000000000000,5500000.00,27.8000000000000000,0.512
2012TOR,2012,Toronto Maple Leafs,1,2.0000000000000000,2800000.00,25.9000000000000000,0.488
2012VAN,2012,Vancouver Canucks,2,3.5000000000000000,6875000.00,27.2000000000000000,0.677
2012WAS,2012,Washington Capitals,2,4.5000000000000000,10050000.00,24.5500000000000000,0.561
2012WPG,2012,Winnipeg Jets,2,4.0000000000000000,9750000.00,27.2000000000000000,0.512
2013ANA,2013,Anaheim Ducks,3,1.00000000000000000000,7500000.00,37.4333333333333333,0.688
2013ARI,2013,Arizona Coyotes,1,4.0000000000000000,5500000.00,33.3000000000000000,0.531
2013BOS,2013,Boston Bruins,2,4.5000000000000000,13000000.00,31.1000000000000000,0.646
2013BUF,2013,Buffalo Sabres,1,6.0000000000000000,4250000.00,23.3000000000000000,0.500
2013CAR,2013,Carolina Hurricanes,1,1.00000000000000000000,2000000.00,32.2000000000000000,0.438
2013CBJ,2013,Columbus Blue Jackets,1,7.0000000000000000,5300000.00,28.1000000000000000,0.573
2013CGY,2013,Calgary Flames,1,2.0000000000000000,2125000.00,23.0000000000000000,0.438
2013CHI,2013,Chicago Blackhawks,3,1.6666666666666667,6900000.00,32.4666666666666667,0.802
2013COL,2013,Colorado Avalanche,0,0,0,0,0.406
2013DAL,2013,Dallas Stars,0,0,0,0,0.500
